

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2022.001                            
 Output using command file : PlotASCII_qe.cmd

 ASCII file created at : date          :22-Mar-2022
                         time          :10:55:45
 Project number                        :20024805
 Date of testing                       :21-Mar-2022
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-2022
 Penetrometer                          :F7.5CKE2HAW2/B/3342
 Serial no                             :1701-3342

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 qe                                    :Effective Cone Resistance, Effective Cone Resistance [MPa]


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq         qe
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -        MPa
  364    7.260   2623.42    15.1603     0.0907     0.0226     0.0726    15.1713     0.5768   116.1600    15.0551    -0.0031    15.1450
  365    7.280   2624.43    13.5518     0.0999    -0.0142     0.0728    13.5517     0.6960   116.4800    13.4352    -0.0055    13.5520
  366    7.300   2625.48    10.5181     0.0914     0.0058     0.0730    10.5150     0.7841   116.8000    10.3982    -0.0077    10.5223
  367    7.320   2626.51     8.2389     0.0931     0.0347     0.0732     8.2513     1.0413   117.1200     8.1342    -0.0053     8.2218
  368    7.340   2627.50     6.9077     0.0904     0.0501     0.0734     6.9255     1.2573   117.4400     6.8080    -0.0045     6.8831
  369    7.360   2628.55     6.9240     0.0879     0.0946     0.0736     6.9577     1.3176   117.7600     6.8400     0.0009     6.8774
  370    7.380   2629.64     9.4133     0.0734     0.0955     0.0738     9.4579     0.8802   118.0800     9.3398     0.0035     9.3516
  371    7.400   2630.65    11.5845     0.0709     0.0376     0.0740    11.6073     0.6401   118.4000    11.4889    -0.0017    11.5530
  372    7.420   2631.74    13.2895     0.0675    -0.0532     0.0742    13.2872     0.5386   118.7200    13.1685    -0.0060    13.2926
  373    7.440   2632.76    14.6310     0.0687    -0.1086     0.0744    14.5901     0.4820   119.0400    14.4711    -0.0119    14.6874
  374    7.460   2633.85    14.9262     0.0675    -0.1027     0.0746    14.8810     0.4555   119.3600    14.7616    -0.0123    14.9887
  375    7.480   2634.89    15.1401     0.0696    -0.1068     0.0748    15.0959     0.4638   119.6800    14.9762    -0.0120    15.2012
  376    7.500   2635.89    15.8943     0.0674    -0.0603     0.0750    15.8626     0.4331   120.0000    15.7426    -0.0096    15.9381
  377    7.520   2636.95    16.6458     0.0637    -0.0519     0.0752    16.6216     0.3865   120.3200    16.5013    -0.0080    16.6791
  378    7.540   2638.00    16.6992     0.0682    -0.0460     0.0754    16.6808     0.4077   120.6400    16.5602    -0.0072    16.7245
  379    7.560   2639.05    16.0871     0.0675    -0.0260     0.0756    16.0740     0.4100   120.9600    15.9531    -0.0067    16.1051
  380    7.580   2640.08    15.0526     0.0583    -0.0692     0.0758    15.0290     0.3738   121.2800    14.9077    -0.0089    15.0851
  381    7.600   2641.11    13.8401     0.0638    -0.0689     0.0760    13.8063     0.4428   121.6000    13.6847    -0.0114    13.8867
  382    7.620   2642.12    12.1175     0.0640    -0.0630     0.0762    12.0922     0.4890   121.9200    11.9703    -0.0114    12.1524
  383    7.640   2643.16    10.2766     0.0628    -0.0665     0.0764    10.2485     0.5735   122.2400    10.1263    -0.0142    10.3154
  384    7.660   2644.22     9.0016     0.0596    -0.0310     0.0766     8.9810     0.6296   122.5600     8.8585    -0.0141     9.0299
  385    7.680   2645.24     8.3107     0.0682     0.0026     0.0768     8.3095     0.7922   122.8800     8.1867    -0.0097     8.3124
  386    7.700   2646.27     7.4220     0.0772    -0.0016     0.0770     7.4254     1.0233   123.2000     7.3022    -0.0095     7.4173
  387    7.720   2647.31     6.3816     0.0689    -0.0021     0.0772     6.3771     1.0074   123.5200     6.2536    -0.0141     6.3879
  388    7.740   2648.33     5.4750     0.0665     0.0089     0.0774     5.4789     1.2067   123.8400     5.3551    -0.0127     5.4697
  389    7.760   2649.35     5.0769     0.0710     0.0140     0.0776     5.0841     1.3589   124.1600     4.9600    -0.0122     5.0669
  390    7.780   2650.38     4.4522     0.0725     0.0358     0.0778     4.4649     1.5486   124.4800     4.3404    -0.0109     4.4347
  391    7.800   2651.38     3.1579     0.0719    -0.0238     0.0780     3.1536     1.8981   124.8000     3.0288    -0.0296     3.1639
  392    7.820   2652.40     2.2402     0.0607    -0.0270     0.0782     2.2228     2.4978   125.1200     2.0977    -0.0572     2.2643
  393    7.840   2653.41     1.6928     0.0475     0.0455     0.0784     1.7003     2.6470   125.4400     1.5749    -0.0377     1.6825
  394    7.860   2654.44     1.2681     0.0422     0.1127     0.0786     1.3104     3.0204   125.7600     1.1846     0.0191     1.2096
  395    7.880   2655.43     1.0309     0.0357     0.1469     0.0788     1.0873     3.4060   126.0800     0.9613     0.0583     0.9529
  396    7.900   2656.49     0.8639     0.0211     0.1703     0.0790     0.9327     2.3007   126.4000     0.8063     0.1052     0.7690
  397    7.920   2657.50     0.7509     0.0175     0.1989     0.0792     0.8317     2.3078   126.7200     0.7050     0.1608     0.6393
  398    7.940   2658.52     0.7251     0.0175     0.2104     0.0794     0.8118     2.4272   127.0400     0.6848     0.1855     0.6054
  399    7.960   2659.49     0.7405     0.0181     0.2261     0.0796     0.8335     2.4633   127.3600     0.7061     0.2009     0.6120
  400    7.980   2660.49     0.7383     0.0191     0.2446     0.0798     0.8377     2.5817   127.6800     0.7100     0.2210     0.6010
  401    8.000   2661.53     0.7248     0.0203     0.2635     0.0800     0.8334     2.7865   128.0000     0.7054     0.2532     0.5748
  402    8.020   2662.52     0.7150     0.0213     0.2752     0.0802     0.8288     2.9695   128.3200     0.7005     0.2722     0.5579
  403    8.040   2663.54     0.7028     0.0217     0.2918     0.0804     0.8228     3.0565   128.6400     0.6942     0.2958     0.5371
  404    8.060   2664.56     0.6857     0.0218     0.3049     0.0806     0.8120     3.1605   128.9600     0.6831     0.3222     0.5114
  405    8.080   2665.54     0.6737     0.0216     0.3154     0.0808     0.8051     3.1774   129.2800     0.6758     0.3434     0.4922
  406    8.100   2666.58     0.6793     0.0211     0.3308     0.0810     0.8151     3.1601   129.6000     0.6855     0.3536     0.4917
  407    8.120   2667.61     0.6775     0.0207     0.3454     0.0812     0.8212     3.0219   129.9200     0.6913     0.3774     0.4792
  408    8.140   2668.66     0.6723     0.0208     0.3608     0.0814     0.8227     3.0954   130.2400     0.6924     0.3996     0.4646
  409    8.160   2669.61     0.6592     0.0206     0.3642     0.0816     0.8114     3.1064   130.5600     0.6808     0.4125     0.4489
  410    8.180   2670.66     0.6524     0.0209     0.3782     0.0818     0.8100     3.1965   130.8800     0.6792     0.4323     0.4347
  411    8.200   2671.74     0.6411     0.0210     0.3820     0.0820     0.8007     3.2688   131.2000     0.6695     0.4451     0.4208
  412    8.220   2672.74     0.6414     0.0222     0.3916     0.0822     0.8041     3.4662   131.5200     0.6725     0.4537     0.4167
  413    8.240   2673.74     0.6361     0.0234     0.4000     0.0824     0.8039     3.6582   131.8400     0.6721     0.4718     0.4044
  414    8.260   2674.76     0.6272     0.0234     0.4090     0.0826     0.7980     3.7152   132.1600     0.6658     0.4865     0.3915
  415    8.280   2675.75     0.6185     0.0221     0.4203     0.0828     0.7932     3.5701   132.4800     0.6607     0.5040     0.3774
  416    8.300   2676.75     0.6214     0.0218     0.4317     0.0830     0.8010     3.5163   132.8000     0.6682     0.5156     0.3735
  417    8.320   2677.77     0.6221     0.0219     0.4402     0.0832     0.8065     3.5386   133.1200     0.6734     0.5287     0.3673
  418    8.340   2678.82     0.6420     0.0226     0.4548     0.0834     0.8306     3.5294   133.4400     0.6971     0.5243     0.3817
  419    8.360   2679.84     0.6428     0.0224     0.4547     0.0836     0.8344     3.4873   133.7600     0.7007     0.5319     0.3781
  420    8.380   2680.83     0.6471     0.0225     0.4449     0.0838     0.8359     3.4926   134.0800     0.7019     0.5212     0.3863
  421    8.400   2681.81     0.6488     0.0206     0.4510     0.0840     0.8373     3.1679   134.4000     0.7029     0.5191     0.3885
  422    8.420   2682.82     0.6303     0.0200     0.4608     0.0842     0.8210     3.1474   134.7200     0.6862     0.5389     0.3670
  423    8.440   2683.85     0.5946     0.0209     0.4685     0.0844     0.7911     3.4965   135.0400     0.6561     0.5844     0.3233
  424    8.460   2684.86     0.5784     0.0218     0.4766     0.0846     0.7772     3.7671   135.3600     0.6418     0.6056     0.3039
  425    8.480   2685.83     0.5612     0.0225     0.4783     0.0848     0.7627     4.0000   135.6800     0.6270     0.6298     0.2830
  426    8.500   2686.87     0.5484     0.0232     0.4770     0.0850     0.7490     4.2282   136.0000     0.6130     0.6404     0.2714
  427    8.520   2687.86     0.5544     0.0237     0.4772     0.0852     0.7545     4.3199   136.3200     0.6182     0.6329     0.2781
  428    8.540   2688.89     0.5762     0.0241     0.4872     0.0854     0.7797     4.1894   136.6400     0.6430     0.6206     0.2952
  429    8.560   2689.86     0.5983     0.0244     0.5050     0.0856     0.8082     4.1634   136.9600     0.6712     0.6171     0.3084
  430    8.580   2690.88     0.6205     0.0247     0.5284     0.0858     0.8395     4.0253   137.2800     0.7023     0.6204     0.3181
  431    8.600   2691.90     0.6230     0.0253     0.5435     0.0860     0.8492     4.0743   137.6000     0.7116     0.6360     0.3106
  432    8.620   2692.94     0.6308     0.0243     0.5542     0.0862     0.8623     3.8673   137.9200     0.7244     0.6420     0.3110
  433    8.640   2693.92     0.6391     0.0234     0.5592     0.0864     0.8734     3.6632   138.2400     0.7352     0.6413     0.3156
  434    8.660   2694.95     0.6509     0.0223     0.5672     0.0866     0.8875     3.4445   138.5600     0.7489     0.6366     0.3241
  435    8.680   2695.98     0.6446     0.0213     0.5723     0.0868     0.8842     3.3066   138.8800     0.7453     0.6488     0.3139
  436    8.700   2696.99     0.6378     0.0188     0.5786     0.0870     0.8804     2.9388   139.2000     0.7412     0.6620     0.3028
  437    8.720   2698.03     0.6444     0.0167     0.5829     0.0872     0.8881     2.6030   139.5200     0.7486     0.6587     0.3078
  438    8.740   2704.54     0.6561     0.0166     0.5822     0.0874     0.9014     2.5712   139.8400     0.7616     0.6530     0.3172
  439    8.760   2722.34     0.6873     0.0164     0.5764     0.0876     0.9302     2.5445   140.1600     0.7900     0.6223     0.3518
  440    8.780   2735.45     0.6804     0.0157     0.5554     0.0878     0.9196     2.2072   140.4800     0.7791     0.6187     0.3502
  441    8.800   2736.48     0.5543     0.0133     0.4653     0.0880     0.7635     2.3583   140.8000     0.6227     0.6591     0.2653
  442    8.820   2737.48     0.5169     0.0111     0.4166     0.0882     0.6934     2.1116   141.1200     0.5522     0.6009     0.2733
  443    8.840   2738.51     0.5043     0.0131     0.4331     0.0884     0.6834     2.5909   141.4400     0.5420     0.6242     0.2568
  444    8.860   2739.51     0.4980     0.0177     0.4534     0.0886     0.6851     3.5757   141.7600     0.5433     0.6567     0.2397
  445    8.880   2740.49     0.5286     0.0226     0.4805     0.0888     0.7263     4.2809   142.0800     0.5842     0.6536     0.2557
  446    8.900   2741.57     0.6677     0.0231     0.4923     0.0890     0.8723     3.5603   142.4000     0.7299     0.5473     0.3850
  447    8.920   2742.54     0.8919     0.0264     0.4869     0.0892     1.1019     3.2408   142.7200     0.9592     0.4292     0.6019
  448    8.940   2743.52     1.0364     0.0282     0.5259     0.0894     1.2448     2.7404   143.0400     1.1018     0.3692     0.7486
  449    8.960   2744.53     1.1005     0.0296     0.5741     0.0896     1.3373     2.7549   143.3600     1.1939     0.3972     0.7734
  450    8.980   2745.54     1.1042     0.0289     0.5390     0.0898     1.3285     2.6427   143.6800     1.1848     0.3747     0.7946
  451    9.000   2746.60     1.1845     0.0311     0.5361     0.0900     1.4175     2.6403   144.0000     1.2735     0.3650     0.8628
  452    9.020   2747.60     1.1721     0.0346     0.5836     0.0902     1.4077     2.9345   144.3200     1.2634     0.3726     0.8467
  453    9.040   2748.60     1.1814     0.0360     0.6193     0.0904     1.4407     3.0506   144.6400     1.2960     0.4066     0.8233
  454    9.060   2749.57     1.1655     0.0350     0.4917     0.0906     1.3952     2.9477   144.9600     1.2502     0.3647     0.8483
  455    9.080   2750.63     1.1061     0.0363     0.5064     0.0908     1.3099     3.1727   145.2800     1.1646     0.3387     0.8247
  456    9.100   2751.64     1.0470     0.0377     0.5641     0.0910     1.2778     3.5086   145.6000     1.1322     0.4052     0.7281
  457    9.120   2752.65     1.0712     0.0377     0.5848     0.0912     1.3106     3.5317   145.9200     1.1646     0.4111     0.7405
  458    9.140   2753.66     1.0611     0.0343     0.5882     0.0914     1.3077     3.2316   146.2400     1.1615     0.4268     0.7206
  459    9.160   2754.69     1.1035     0.0324     0.5764     0.0916     1.3481     3.0275   146.5600     1.2016     0.4084     0.7658
  460    9.180   2755.71     1.2039     0.0286     0.5779     0.0918     1.4463     2.3768   146.8800     1.2994     0.3735     0.8692
  461    9.200   2756.73     1.2261     0.0315     0.5843     0.0920     1.4674     2.5634   147.2000     1.3202     0.3654     0.8930
  462    9.220   2757.71     1.2285     0.0307     0.5638     0.0922     1.4721     2.5257   147.5200     1.3246     0.3684     0.8919
  463    9.240   2758.77     1.2658     0.0299     0.5601     0.0924     1.5070     2.3955   147.8400     1.3592     0.3546     0.9327
  464    9.260   2759.77     1.2795     0.0302     0.5538     0.0926     1.5109     2.3432   148.1600     1.3627     0.3366     0.9599
  465    9.280   2760.75     1.1823     0.0316     0.5851     0.0928     1.4209     2.6134   148.4800     1.2724     0.3735     0.8529
  466    9.300   2761.84     1.1155     0.0295     0.6407     0.0930     1.3762     2.6190   148.8000     1.2274     0.4301     0.7554
  467    9.320   2762.81     1.0781     0.0290     0.6446     0.0932     1.3479     2.6653   149.1200     1.1988     0.4581     0.7056
  468    9.340   2763.83     1.0556     0.0284     0.6710     0.0934     1.3350     2.6724   149.4400     1.1855     0.4823     0.6698
  469    9.360   2764.86     1.0771     0.0320     0.7098     0.0936     1.3667     3.0228   149.7600     1.2169     0.4896     0.6773
  470    9.380   2765.86     1.1843     0.0297     0.7465     0.0938     1.4936     2.6028   150.0800     1.3435     0.4786     0.7571
  471    9.400   2766.86     1.3363     0.0305     0.7120     0.0940     1.6452     2.4220   150.4000     1.4948     0.4296     0.9097
  472    9.420   2767.88     1.4525     0.0370     0.6440     0.0942     1.7245     2.5848   150.7200     1.5738     0.3518     1.0769
  473    9.440   2768.90     1.6173     0.0456     0.7007     0.0944     1.9099     2.9160   151.0400     1.7588     0.3429     1.2134
  474    9.460   2769.94     1.8795     0.0496     0.5366     0.0946     2.1491     2.7454   151.3600     1.9978     0.2746     1.5072
  475    9.480   2770.96     2.1348     0.0523     0.3448     0.0948     2.2889     2.4627   151.6800     2.1372     0.1273     1.9221
  476    9.500   2771.97     2.1849     0.0506     0.2213     0.0950     2.2890     2.3505   152.0000     2.1370     0.0712     2.0412
  477    9.520   2772.98     1.9640     0.0455     0.2993     0.0952     2.0735     2.1887   152.3200     1.9211     0.0865     1.8128
  478    9.540   2773.98     1.7896     0.0427     0.3891     0.0954     1.9433     2.3428   152.6400     1.7907     0.1513     1.5774
  479    9.560   2775.02     1.7449     0.0384     0.4177     0.0956     1.9193     2.1972   152.9600     1.7664     0.1810     1.5039
  480    9.580   2776.01     1.7812     0.0354     0.4658     0.0958     1.9687     2.0112   153.2800     1.8154     0.1929     1.5224
  481    9.600   2777.04     1.9460     0.0338     0.4472     0.0960     2.1505     1.8278   153.6000     1.9969     0.1957     1.6637
  482    9.620   2778.08     2.2114     0.0336     0.3074     0.0962     2.3576     1.5987   153.9200     2.2037     0.1145     2.0094
  483    9.640   2779.13     2.3050     0.0347     0.2931     0.0964     2.4213     1.4999   154.2400     2.2670     0.0796     2.1445
  484    9.660   2780.11     2.1405     0.0318     0.3387     0.0966     2.2767     1.4180   154.5600     2.1221     0.1073     1.9525
  485    9.680   2781.18     1.8678     0.0341     0.4061     0.0968     2.0275     1.8145   154.8800     1.8726     0.1514     1.6473
  486    9.700   2782.19     1.7338     0.0347     0.4465     0.0970     1.9197     1.9906   155.2000     1.7645     0.1958     1.4772
  487    9.720   2783.22     1.6385     0.0319     0.4637     0.0972     1.8278     1.8988   155.5200     1.6722     0.2113     1.3772
  488    9.740   2784.17     1.6015     0.0293     0.4638     0.0974     1.7989     1.8241   155.8400     1.6430     0.2267     1.3289
  489    9.760   2785.22     1.5962     0.0265     0.4455     0.0976     1.7836     1.6734   156.1600     1.6274     0.2142     1.3375
  490    9.780   2786.25     1.4589     0.0260     0.4699     0.0978     1.6506     1.7015   156.4800     1.4941     0.2402     1.1941
  491    9.800   2787.26     1.3164     0.0253     0.4996     0.0980     1.5264     1.8305   156.8000     1.3696     0.2937     1.0262
  492    9.820   2788.30     1.2672     0.0268     0.5422     0.0982     1.4892     2.1190   157.1200     1.3321     0.3230     0.9607
  493    9.840   2789.29     1.3158     0.0304     0.5646     0.0984     1.5498     2.3704   157.4400     1.3924     0.3295     0.9927
  494    9.860   2790.29     1.5038     0.0307     0.5560     0.0986     1.7340     2.2050   157.7600     1.5762     0.2851     1.1860
  495    9.880   2791.35     1.7142     0.0304     0.5353     0.0988     1.9406     1.8159   158.0800     1.7825     0.2471     1.4017
  496    9.900   2792.35     1.8882     0.0302     0.5337     0.0990     2.1141     1.6503   158.4000     1.9557     0.2245     1.5763
  497    9.920   2793.39     1.9413     0.0346     0.5351     0.0992     2.1629     1.7837   158.7200     2.0041     0.2138     1.6352
  498    9.940   2794.39     1.9496     0.0339     0.5009     0.0994     2.1678     1.7253   159.0400     2.0087     0.2091     1.6482
  499    9.960   2795.40     1.7458     0.0336     0.5264     0.0996     1.9565     1.9151   159.3600     1.7971     0.2243     1.4549
  500    9.980   2796.42     1.5915     0.0312     0.4510     0.0998     1.7928     1.9228   159.6800     1.6331     0.2320     1.3135
  501   10.000   2797.43     1.4266     0.0285     0.5363     0.1000     1.6366     1.8783   160.0000     1.4766     0.2716     1.1367
  502   10.020   2798.47     1.3256     0.0328     0.5841     0.1002     1.5685     2.4315   160.3200     1.4082     0.3396     0.9901
  503   10.040   2799.46     1.3201     0.0360     0.6041     0.1004     1.5696     2.7218   160.6400     1.4089     0.3504     0.9755
  504   10.060   2800.46     1.3654     0.0365     0.6474     0.1006     1.6303     2.7225   160.9600     1.4694     0.3607     0.9996
  505   10.080   2801.47     1.4199     0.0327     0.6264     0.1008     1.6885     2.3659   161.2800     1.5272     0.3529     1.0490
  506   10.100   2802.53     1.6014     0.0348     0.5885     0.1010     1.8488     2.2981   161.6000     1.6872     0.2896     1.2597
  507   10.120   2803.53     1.7958     0.0404     0.5865     0.1012     2.0415     2.3911   161.9200     1.8796     0.2577     1.4564
  508   10.140   2804.52     2.2680     0.0426     0.6014     0.1014     2.5177     2.0980   162.2400     2.3554     0.2101     1.9232
  509   10.160   2805.57     3.2115     0.0463     0.5316     0.1016     3.4626     1.6365   162.5600     3.3001     0.1512     2.8647
  510   10.180   2806.64     4.3795     0.0534     0.2070     0.1018     4.4973     1.3712   162.8800     4.3344     0.0417     4.2169
  511   10.200   2807.72     5.4704     0.0673     0.0422     0.1020     5.5060     1.3447   163.2000     5.3428    -0.0032     5.4214
  512   10.220   2808.72     6.1161     0.0663    -0.1014     0.1022     6.0842     1.1301   163.5200     5.9207    -0.0301     6.1600
  513   10.240   2809.75     6.1579     0.0724    -0.1300     0.1024     6.1103     1.1610   163.8400     5.9465    -0.0363     6.2235
  514   10.260   2810.80     5.4690     0.0825    -0.1487     0.1026     5.4167     1.4276   164.1600     5.2525    -0.0434     5.5414
  515   10.280   2811.79     4.6176     0.0879    -0.1704     0.1028     4.5507     1.7681   164.4800     4.3862    -0.0599     4.7100
  516   10.300   2812.83     4.0415     0.0942    -0.1749     0.1030     3.9688     2.1888   164.8000     3.8040    -0.0727     4.1419
  517   10.320   2813.87     3.4436     0.0977    -0.1764     0.1032     3.3639     2.7099   165.1200     3.1988    -0.0916     3.5537
  518   10.340   2814.91     2.7619     0.0832    -0.0131     0.1034     2.7327     2.8019   165.4400     2.5673    -0.0662     2.8023
  519   10.360   2815.94     2.1737     0.0639     0.0118     0.1036     2.1691     2.7603   165.7600     2.0034    -0.0569     2.1801
  520   10.380   2816.94     1.7892     0.0497     0.1230     0.1038     1.8199     2.6232   166.0800     1.6538    -0.0177     1.7469
  521   10.400   2817.94     1.5205     0.0384     0.2853     0.1040     1.6151     2.3547   166.4000     1.4487     0.0845     1.3898
  522   10.420   2818.96     1.4051     0.0335     0.3716     0.1042     1.5527     2.3330   166.7200     1.3859     0.1783     1.2013
  523   10.440   2819.97     1.3937     0.0374     0.4266     0.1044     1.5651     2.5955   167.0400     1.3980     0.2170     1.1572
  524   10.460   2821.02     1.4651     0.0440     0.4340     0.1046     1.6425     2.9577   167.3600     1.4751     0.2154     1.2202
  525   10.480   2822.05     1.5170     0.0505     0.4508     0.1048     1.7041     3.3199   167.6800     1.5364     0.2217     1.2588
  526   10.500   2823.10     1.6293     0.0606     0.4807     0.1050     1.8337     3.7577   168.0000     1.6657     0.2291     1.3470
  527   10.520   2824.04     1.7149     0.0610     0.4902     0.1052     1.9164     3.5928   168.3200     1.7481     0.2142     1.4367
  528   10.540   2831.07     1.8498     0.0551     0.4925     0.1054     2.0585     3.2604   168.6400     1.8899     0.2158     1.5616
  529   10.560   2847.97     2.2913     0.0539     0.4795     0.1056     2.4945     3.2037   168.9600     2.3256     0.1787     2.0106
  530   10.580   2864.88     2.7328     0.0622     0.4665     0.1058     2.9306     3.6981   169.2800     2.7613     0.1416     2.4596
  531   10.600   2876.58     3.2994     0.0830     0.3491     0.1060     3.4762     2.8421   169.6000     3.3066     0.0955     3.0554
  532   10.620   2877.62     4.6272     0.1062     0.4293     0.1062     4.7877     2.6989   169.9200     4.6178     0.0595     4.4056
  533   10.640   2878.67     5.7317     0.1073    -0.1013     0.1064     5.7441     1.9613   170.2400     5.5739    -0.0138     5.7147
  534   10.660   2879.64     4.7941     0.0994    -0.2287     0.1066     4.7093     1.9629   170.5600     4.5387    -0.0680     4.9113
  535   10.680   2880.74     3.5736     0.0894    -0.2391     0.1068     3.4713     2.1667   170.8800     3.3005    -0.1065     3.7148
  536   10.700   2881.68     2.7460     0.0861    -0.1387     0.1070     2.6608     2.8440   171.2000     2.4896    -0.1245     2.8637
  537   10.720   2882.75     2.0432     0.0773     0.1220     0.1072     2.0531     3.7287   171.5200     1.8816    -0.0437     2.0294
  538   10.740   2883.73     1.8059     0.0490     0.3075     0.1074     1.9150     2.5989   171.8400     1.7432     0.0875     1.6552
  539   10.760   2884.78     1.7701     0.0304     0.3580     0.1076     1.9141     1.7131   172.1600     1.7420     0.1351     1.5711
  540   10.780   2885.84     1.8178     0.0285     0.4057     0.1078     1.9826     1.5828   172.4800     1.8101     0.1572     1.5902
  541   10.800   2886.84     1.7813     0.0320     0.4279     0.1080     1.9599     1.7792   172.8000     1.7871     0.1776     1.5345
  542   10.820   2887.84     1.7960     0.0330     0.4471     0.1082     1.9788     1.8507   173.1200     1.8057     0.1810     1.5437
  543   10.840   2888.87     1.8655     0.0352     0.4675     0.1084     2.0620     1.9183   173.4400     1.8886     0.1903     1.5942
  544   10.860   2889.91     1.8914     0.0401     0.4164     0.1086     2.0749     2.1454   173.7600     1.9011     0.1728     1.6380
  545   10.880   2890.96     2.0462     0.0524     0.3947     0.1088     2.2045     2.6478   174.0800     2.0304     0.1321     1.8275
  546   10.900   2891.95     2.2352     0.0699     0.4787     0.1090     2.4276     3.2523   174.4000     2.2532     0.1548     1.9696
  547   10.920   2892.99     2.5225     0.0815     0.4303     0.1092     2.7123     3.4096   174.7200     2.5376     0.1355     2.2605
  548   10.940   2894.00     3.0800     0.0724     0.3175     0.1094     3.2347     2.5778   175.0400     3.0597     0.0853     2.8663
  549   10.960   2895.03     3.5567     0.0575     0.2178     0.1096     3.6641     1.7095   175.3600     3.4888     0.0421     3.4082
  550   10.980   2896.03     3.6355     0.0864     0.0761     0.1098     3.6849     2.4060   175.6800     3.5092     0.0022     3.5674
  551   11.000   2897.10     3.9211     0.1151     0.0239     0.1100     3.9330     3.0296   176.0000     3.7570    -0.0217     3.9046
  552   11.020   2898.10     4.3072     0.0993     0.1235     0.1102     4.3315     2.4137   176.3200     4.1552    -0.0127     4.2737
  553   11.040   2899.20     4.2878     0.1068    -0.0487     0.1104     4.3134     2.3692   176.6400     4.1367    -0.0120     4.2524
  554   11.060   2900.17     4.1539     0.1144    -0.0722     0.1106     4.1096     2.7243   176.9600     3.9327    -0.0550     4.2151
  555   11.080   2901.20     4.3287     0.1286    -0.0407     0.1108     4.2973     3.0265   177.2800     4.1200    -0.0451     4.3720
  556   11.100   2902.26     5.3028     0.1418    -0.0023     0.1110     5.3063     2.8859   177.6000     5.1287    -0.0200     5.2978
  557   11.120   2903.28     5.7518     0.1306    -0.2165     0.1112     5.6699     2.3261   177.9200     5.4920    -0.0558     5.8650
  558   11.140   2904.32     5.4670     0.0963    -0.2562     0.1114     5.3645     1.7003   178.2400     5.1863    -0.0686     5.6085
  559   11.160   2905.33     4.7568     0.0782    -0.2503     0.1116     4.6528     1.5563   178.5600     4.4743    -0.0804     4.9004
  560   11.180   2906.42     4.3628     0.0696    -0.2368     0.1118     4.2614     1.6025   178.8800     4.0825    -0.0866     4.5027
  561   11.200   2907.48     5.1948     0.0729    -0.2692     0.1120     5.0854     1.5667   179.2000     4.9062    -0.0761     5.3459
  562   11.220   2908.50     6.4988     0.0890    -0.2316     0.1122     6.3976     1.4718   179.5200     6.2181    -0.0570     6.6385
  563   11.240   2909.58     6.4356     0.1029    -0.2812     0.1124     6.3205     1.5489   179.8400     6.1407    -0.0629     6.5944
  564   11.260   2910.56     5.4568     0.1054    -0.2829     0.1126     5.3382     1.7843   180.1600     5.1580    -0.0767     5.6206
  565   11.280   2911.61     4.5082     0.1028    -0.2793     0.1128     4.3899     2.1343   180.4800     4.2095    -0.0938     4.6715
  566   11.300   2912.62     3.9508     0.1031    -0.2655     0.1130     3.8357     2.4631   180.8000     3.6549    -0.1059     4.1097
  567   11.320   2913.68     3.3681     0.0973    -0.2521     0.1132     3.2656     2.6524   181.1200     3.0844    -0.1159     3.5096
  568   11.340   2914.69     3.0249     0.0976    -0.2355     0.1134     2.9164     3.1040   181.4400     2.7349    -0.1359     3.1748
  569   11.360   2915.72     2.7671     0.0901    -0.1965     0.1136     2.6849     3.1521   181.7600     2.5031    -0.1236     2.8807
  570   11.380   2916.77     3.0375     0.0763    -0.1780     0.1138     2.9551     2.6974   182.0800     2.7731    -0.1119     3.1512
