index,depth,fr,delta_ord,orc,tf_sand,tf_clay,tf_adop_tension,tf_adop_compression,iz1,lc,qs_tension,qs_compression,qb1_clay,qb1_sand,qp_clay,qp_sand,Q_b_sand,Q_b_clay,ifr_value,diameter,are_value,area_value,dstar_value,depth,h,fr_percent,qt,gtot,u0_kpa,sig_v0,sig_v0_prime,qtn,n,bq,kc,qtc,,tipdepth,tension_capacity,compression_capacity,Q_shaft,Q_b
28,2.9,2.383195443,0,0,0,4.316637866,4.316637866,4.316637866,10.8232498,2.898576019,80.21509339,80.295042,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,2.9,70.1,2.383195443,0.179337273,13.69770579,28.449,39.72334679,11.27434679,11.24999551,0.955549061,-0.203769071,1,0.179337273,,2.8,211.3900737,211.6471594,80.295042,131.3521174
29,3,3.267169889,0,0,0,3.792256938,3.792256938,3.792256938,9.626835079,3.02697051,84.38489767,84.46484629,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,3,70,3.267169889,0.157495339,13.78078566,29.43,41.34235698,11.91235698,9.750629721,1,-0.253372746,1,0.157495339,,2.9,223.7495611,224.0066468,84.46484629,139.5418005
30,3.1,3.977010857,0,0,0,3.588221325,3.588221325,3.588221325,8.310765537,3.130965067,88.33035309,88.4103017,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,3.1,69.9,3.977010857,0.148968333,13.89741813,30.411,43.0819962,12.6709962,8.356591313,1,-0.287204194,1,0.148968333,,3,234.267652,234.5247377,88.4103017,146.114436
31,3.2,4.310034638,0,0,0,2.855535466,2.855535466,2.855535466,6.329468512,3.248106983,91.47017832,91.55012694,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,3.2,69.8,4.310034638,0.118507778,13.50976553,31.392,43.2312497,11.8392497,6.358217813,1,-0.41702242,1,0.118507778,,3.1,243.9344006,244.1914863,91.55012694,152.6413594
32,3.3,3.500834348,0,0,0,3.477947486,3.477947486,3.477947486,7.711294374,3.123738133,95.29438132,95.37432993,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,3.3,69.7,3.500834348,0.144286818,13.66354118,32.373,45.08968589,12.71668589,7.800549053,1,-0.326350161,1,0.144286818,,3.2,251.0858403,251.342926,95.37432993,155.9685961
33,3.4,3.338524282,0,0,0,4.25983653,4.25983653,4.25983653,8.974303026,3.057478544,99.97831622,100.0582648,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,3.4,69.6,3.338524282,0.176661,13.98883642,33.354,47.56204383,14.20804383,9.086328684,1,-0.258359951,1,0.176661,,3.3,260.0862832,260.3433689,100.0582648,160.2851041
34,3.5,4.702152889,0,0,0,3.839301421,3.839301421,3.839301421,7.191664657,3.225556389,104.1998486,104.2797972,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,3.5,69.5,4.702152889,0.159163636,14.15504836,34.335,49.54266926,15.20766926,7.208268727,1,-0.313215629,1,0.159163636,,3.4,271.4372777,271.6943634,104.2797972,167.4145662
35,3.6,4.418118226,0,0,0,4.015530459,4.015530459,4.015530459,7.346638191,3.201854407,108.615155,108.6951036,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,3.6,69.4,4.418118226,0.166409545,14.15994021,35.316,50.97578476,15.65978476,7.371350376,1,-0.305941693,1,0.166409545,,3.5,281.3206451,281.5777308,108.6951036,172.8826272
36,3.7,3.933133291,0,0,0,4.077806398,4.077806398,4.077806398,7.41140614,3.168438281,113.0989373,113.1788859,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,3.7,69.3,3.933133291,0.168929444,14.04711982,36.297,51.97434333,15.67734333,7.460135188,1,-0.310349868,1,0.168929444,,3.6,291.671612,291.9286977,113.1788859,178.7498118
37,3.8,3.913884527,0,0,0,4.291595513,4.291595513,4.291595513,7.50843603,3.162555123,117.817793,117.8977416,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,3.8,69.2,3.913884527,0.177721818,14.12838714,37.278,53.68787113,16.40987113,7.558496095,1,-0.300546753,1,0.177721818,,3.7,302.0934821,302.3505678,117.8977416,184.4528262
