Reading,Depth,Cone,Friction,Pore 2,Slope x,Slope y
1379,2.033,0.1916,0.0013,0.0384,6.4827,5.6530
1380,2.042,0.1927,0.0015,0.0388,6.4782,5.6350
1381,2.053,0.1924,0.0015,0.0354,6.4587,5.6317
1382,2.063,0.1925,0.0015,0.0207,6.4355,5.6064
1383,2.073,0.1904,0.0015,0.0182,6.4823,5.6306
1384,2.083,0.1830,0.0018,0.0174,6.5011,5.6100
1385,2.092,0.1778,0.0018,0.0167,6.4912,5.5533
1386,2.103,0.1742,0.0018,0.0204,6.5114,5.5684
1387,2.112,0.1686,0.0020,0.0246,6.5119,5.5485
1388,2.123,0.1675,0.0019,0.0279,6.5197,5.5534
1389,2.132,0.1644,0.0018,0.0301,6.5303,5.5462
1390,2.143,0.1577,0.0018,0.0327,6.5281,5.5308
1391,2.153,0.1535,0.0019,0.0348,6.5437,5.5166
1392,2.163,0.1520,0.0022,0.0395,6.5857,5.5228
1393,2.173,0.1535,0.0022,0.0424,6.5625,5.5213
1394,2.183,0.1549,0.0021,0.0447,6.5526,5.5279
1395,2.193,0.1528,0.0022,0.0367,6.5413,5.5290
1396,2.203,0.1565,0.0018,0.0251,6.5788,5.5134
1397,2.213,0.1525,0.0020,0.0309,6.5904,5.5327
1398,2.222,0.1517,0.0020,0.0373,6.5608,5.4672
1399,2.233,0.1552,0.0019,0.0413,6.5805,5.4647
1400,2.242,0.1595,0.0019,0.0442,6.5809,5.5123
1401,2.253,0.1639,0.0019,0.0479,6.5924,5.4223
1402,2.263,0.1678,0.0018,0.0502,6.6049,5.4324
1403,2.273,0.1679,0.0017,0.0505,6.6152,5.4069
1404,2.284,0.1641,0.0017,0.0518,6.6093,5.4152
1405,2.293,0.1634,0.0017,0.0508,6.6240,5.4194
1406,2.303,0.1619,0.0017,0.0534,6.6085,5.4134
1407,2.313,0.1590,0.0017,0.0547,6.6334,5.3770
1408,2.324,0.1599,0.0015,0.0526,6.6574,5.3796
1409,2.333,0.1602,0.0014,0.0516,6.6297,5.3725
1410,2.344,0.1607,0.0015,0.0534,6.6248,5.3709
1411,2.353,0.1610,0.0015,0.0526,6.6405,5.3597
1412,2.364,0.1608,0.0016,0.0546,6.6564,5.3320
1413,2.373,0.1631,0.0015,0.0549,6.7022,5.3043
1414,2.384,0.1610,0.0017,0.0555,6.6854,5.3353
1415,2.393,0.1616,0.0016,0.0547,6.7031,5.3292
1416,2.404,0.1596,0.0018,0.0537,6.6981,5.3253
1417,2.413,0.1591,0.0017,0.0514,6.7137,5.2798
1418,2.424,0.1566,0.0019,0.0515,6.7245,5.2723
1419,2.433,0.1549,0.0019,0.0527,6.7379,5.2490
1420,2.443,0.1513,0.0020,0.0536,6.7363,5.2603
1421,2.454,0.1478,0.0021,0.0546,6.7452,5.2578
1422,2.463,0.1431,0.0022,0.0565,6.7335,5.2239
1423,2.472,0.1403,0.0022,0.0534,6.7474,5.1947
1424,2.483,0.1384,0.0021,0.0558,6.7324,5.1964
1425,2.494,0.1368,0.0021,0.0553,6.7575,5.1678
1426,2.503,0.1392,0.0021,0.0542,6.7698,5.2144
1427,2.514,0.1397,0.0021,0.0565,6.7688,5.2401
1428,2.523,0.1414,0.0021,0.0588,6.7883,5.2066
1429,2.534,0.1409,0.0021,0.0606,6.7625,5.1906
1430,2.543,0.1459,0.0021,0.0620,6.7785,5.1945
1431,2.553,0.1491,0.0021,0.0631,6.7799,5.1956
1432,2.564,0.1545,0.0020,0.0566,6.7953,5.1667
1433,2.573,0.1585,0.0019,0.0547,6.7928,5.1551
1434,2.583,0.1586,0.0018,0.0495,6.8125,5.1451
1435,2.592,0.1583,0.0018,0.0502,6.7922,5.1138
1436,2.603,0.1601,0.0017,0.0522,6.7888,5.1172
1437,2.612,0.1642,0.0017,0.0539,6.8231,5.1691
1438,2.623,0.1702,0.0017,0.0550,6.8473,5.1303
1439,2.632,0.1733,0.0016,0.0539,6.8120,5.1254
1440,2.643,0.1731,0.0018,0.0560,6.8107,5.1344
1441,2.652,0.1738,0.0018,0.0561,6.8050,5.1187
1442,2.663,0.1737,0.0020,0.0568,6.8389,5.1129
1443,2.672,0.1755,0.0021,0.0600,6.8317,5.1143
1444,2.682,0.1752,0.0023,0.0612,6.8840,5.0912
1445,2.692,0.1740,0.0024,0.0635,6.8676,5.0758
1446,2.702,0.1740,0.0024,0.0646,6.8737,5.0884
1447,2.712,0.1722,0.0024,0.0643,6.9112,5.0553
1448,2.722,0.1717,0.0025,0.0609,6.8998,5.0536
1449,2.731,0.1704,0.0026,0.0584,6.8849,5.0506
1450,2.742,0.1679,0.0027,0.0574,6.8791,5.0381
1451,2.752,0.1707,0.0027,0.0572,6.8716,5.0552
1452,2.762,0.1747,0.0026,0.0532,6.9042,5.0774
1453,2.771,0.1656,0.0028,0.0569,6.8816,5.0516
1454,2.782,0.1591,0.0032,0.0626,6.8879,5.0370
1455,2.791,0.1586,0.0033,0.0671,6.8995,5.0500
1456,2.802,0.1595,0.0033,0.0675,6.9192,5.0548
1457,2.812,0.1570,0.0033,0.0644,6.9232,5.0502
1458,2.822,0.1571,0.0032,0.0657,6.9316,4.9882
1474,2.873,0.1604,0.0036,0.0644,6.9480,4.9909
1475,2.882,0.1659,0.0034,0.0609,6.9633,4.9691
1476,2.892,0.1685,0.0034,0.0602,6.9593,5.0097
1477,2.903,0.1716,0.0033,0.0561,6.9393,5.0085
1478,2.912,0.1742,0.0032,0.0571,6.9522,4.9654
1479,2.923,0.1739,0.0032,0.0595,6.9563,5.0135
1480,2.933,0.1733,0.0031,0.0605,6.9974,4.9836
1481,2.942,0.1714,0.0032,0.0607,6.9727,4.9771
1482,2.953,0.1688,0.0033,0.0605,6.9885,4.9689
1483,2.962,0.1656,0.0032,0.0602,6.9751,4.9324
1484,2.973,0.1625,0.0032,0.0581,6.9928,4.9859
1657,3.032,0.1324,0.0045,0.0589,6.7881,5.1859
1658,3.042,0.1310,0.0046,0.0623,6.7919,5.1758
1659,3.053,0.1335,0.0046,0.0637,6.7911,5.1654
1660,3.062,0.1330,0.0046,0.0639,6.8238,5.1597
